record_key,screening_decision,screening_reason,screened_date,decision_source
doi:10.1002/ecy.1856,exclude,Primary reproductive endpoint is avian herbivore reproduction rather than plant reproductive performance; outside IWE outcome scope.,2026-09-19,title_abstract_scope_screening
doi:10.2307/5744,exclude,Phenology is linked to age at first reproduction of a temperate herbivore; the focal fitness outcome is animal rather than plant fitness.,2026-09-19,title_abstract_scope_screening
doi:10.1603/0046-225x(2007)36[1356:ospvar]2.0.co;2,exclude,"Study concerns survival, phenology, voltinism and reproduction of a leaf beetle; no plant reproductive-fitness endpoint for IWE.",2026-09-19,title_abstract_scope_screening
doi:10.1111/1365-2656.12694,exclude,"Phenological desynchronization is evaluated through solitary-bee fitness losses; the focal reproductive endpoint is pollinator fitness, not plant fitness.",2026-09-19,title_abstract_scope_screening
doi:10.1002/ecy.2475,exclude,Experimental phenology shift study reports fitness/foraging/parasitism of a native solitary bee; plant final reproduction is not the focal outcome.,2026-09-19,title_abstract_scope_screening
doi:10.1093/conphys/coab047,exclude,Worker emergence is related to queen reproduction and survival in bumble-bee nests; animal life-history outcome is outside IWE plant-fitness scope.,2026-09-19,title_abstract_scope_screening
doi:10.14411/eje.2021.029,exclude,Year-round phenology and reproduction concern Vanessa cardui itself; no plant reproductive endpoint matched to herbivore timing.,2026-09-19,title_abstract_scope_screening
doi:10.1111/ele.13609,exclude,Focal system is a wind-pollinated tree; flowering synchrony is not temporal matching with an animal interaction partner.,2026-09-19,title_abstract_scope_screening
doi:10.1042/etls20190139,exclude,Review article on plant-pollinator mismatches; not a new empirical biological study contributing a recoverable IWE effect.,2026-09-19,source_type_screening
doi:10.1098/rstb.2010.0144,exclude,Review/synthesis of herbivore-host phenological asynchrony rather than a primary empirical plant timing-to-final-fitness study.,2026-09-19,source_type_screening
doi:10.1111/ele.14158/v2/response1,exclude,Peer-review response associated with an empirical article; administrative companion record rather than an independent biological study.,2026-09-19,source_type_screening
doi:10.1111/ele.14158/v1/decision1,exclude,Editorial decision-letter record; not an independent empirical study.,2026-09-19,source_type_screening
doi:10.1111/ele.14158/v2/decision1,exclude,Editorial decision-letter record; not an independent empirical study.,2026-09-19,source_type_screening
doi:10.1111/ele.14158/v3/decision1,exclude,Editorial decision-letter record; not an independent empirical study.,2026-09-19,source_type_screening
doi:10.1111/ele.14158/v1/review1,exclude,Peer-review report attached to an empirical article; not an independent biological study.,2026-09-19,source_type_screening
doi:10.1111/ele.14158/v1/review2,exclude,Peer-review report attached to an empirical article; not an independent biological study.,2026-09-19,source_type_screening
doi:10.1111/ele.14158/v1/review3,exclude,Peer-review report attached to an empirical article; not an independent biological study.,2026-09-19,source_type_screening
doi:10.1111/ele.14158/v2/review1,exclude,Peer-review report attached to an empirical article; not an independent biological study.,2026-09-19,source_type_screening
doi:10.1111/ele.14158/v2/review2,exclude,Peer-review report attached to an empirical article; not an independent biological study.,2026-09-19,source_type_screening
doi:10.1111/ele.14158/v2/review3,exclude,Peer-review report attached to an empirical article; not an independent biological study.,2026-09-19,source_type_screening
doi:10.6084/m9.figshare.8198561,exclude,"Supplementary appendix to the already registered Kudo & Cooper spring-ephemeral study; data companion, not an independent biological publication/programme.",2026-09-19,duplicate_companion_screening
doi:10.6084/m9.figshare.c.4521761.v1,exclude,Supplementary-material collection for the already registered Kudo & Cooper study; not an independent biological study.,2026-09-19,duplicate_companion_screening
doi:10.5281/zenodo.19488508,exclude,Concept/companion repository record for the already tracked IWE078 Oenothera-Mompha dataset; not an independent published biological study.,2026-09-19,duplicate_companion_screening
doi:10.1002/ece3.9707,context_only,"Individual flowering phenology is related to interaction context and seed set, but the study does not define an independent animal activity curve or direct plant-partner temporal-matching exposure required by strict H1.",2026-09-19,title_abstract_fulltext_screening
doi:10.1890/06-2131.1,context_only,"Multi-species understory study links flowering phenology, pollination and fruit/seed set across years, but phenological group/season is the exposure rather than a matched plant-partner timing metric.",2026-09-19,title_abstract_fulltext_screening
doi:10.1016/j.envpol.2020.115953,context_only,"Ozone treatment changes plant phenology, attractiveness to several pollinators and reproductive success through multiple pathways; no isolated plant-partner temporal-matching effect is identified.",2026-09-19,title_abstract_fulltext_screening
doi:10.1111/1365-2664.14205,context_only,"Plant reproduction and mutualistic/antagonistic insect interactions vary across seasonal agroecological resource gradients, but the focal predictors are management/resource heterogeneity and interaction levels rather than a direct partner-matching exposure.",2026-09-19,title_abstract_fulltext_screening
doi:10.3390/plants14111575,context_only,"Urbanization affects flowering phenology and reproductive success while pollinator visitation/pollen deposition are measured, but the study does not estimate a direct flowering-partner synchrony effect on final reproduction.",2026-09-19,title_abstract_fulltext_screening
doi:10.1017/s0266467404001397,exclude,Pollinator-exclusion evidence identifies wind as the primary pollen vector in Chamaedorea radicalis; no focal animal mutualist timing exposure for IWE.,2026-09-19,title_abstract_fulltext_screening
doi:10.1017/s0266467401001559,exclude,"Chamaedorea alternans is experimentally supported as wind-pollinated; thrips are observed but insect exclusion does not reduce seed production, so there is no focal animal mutualist timing effect.",2026-09-19,title_abstract_fulltext_screening
doi:10.17660/actahortic.2001.561.11,exclude,Simulation study displacing Corydalis and Bombus phenologies; plant endpoint is simulated fraction of flowers pollinated rather than an observed final reproductive-fitness effect.,2026-09-19,title_abstract_fulltext_screening
doi:10.1111/j.1442-9993.1980.tb01225.x,context_only,"Banksia flowering phenology, bird visitation and seed set are described across species, but no direct plant-population matching exposure to a bird activity window is estimated.",2026-09-19,title_abstract_screening
doi:10.1007/pl00013980,context_only,"Cypripedium flowering longevity, rare Bombus visitation and site fruit set are measured, but pollinator activity is not represented as a quantitative temporal matching exposure linked to fruit set.",2026-09-19,title_abstract_screening
doi:10.5735/085.047.0603,context_only,"Comparative orchid study relates flowering phenology/floral display to reproductive success and insect dependence, but lacks an independently measured pollinator activity window for strict matching.",2026-09-19,title_abstract_screening
doi:10.1590/s0085-56262011005000040,context_only,"Tibouchina study measures bee-guild activity periods and reproduction among co-flowering species, but does not estimate plant-partner temporal matching as the exposure for final plant fitness.",2026-09-19,title_abstract_fulltext_screening
doi:10.1590/s0085-56262011000300011,exclude,Duplicate bibliographic representation of the same Tibouchina pollinator-guild article screened under DOI 10.1590/S0085-56262011005000040; not an independent study.,2026-09-19,duplicate_bibliographic_screening
doi:10.1086/382661,exclude,Spatially explicit theoretical model of mast-seeding and specialist seed-predator dynamics; not a primary empirical timing-to-plant-fitness study.,2026-09-19,source_type_screening
doi:10.1086/703187,context_only,"Field experiments show mammalian herbivory reduces lifetime plant fitness and delayed phenology predicts herbivory susceptibility across a range boundary, but there is no within-season animal activity window or direct temporal matching metric.",2026-09-19,title_abstract_fulltext_screening
doi:10.1073/pnas.2506265122,context_only,"Natural-history occurrence records and species-distribution/secondary-extinction models quantify plant-bee phenological mismatch, but the response is modeled extinction risk rather than observed final plant reproductive performance; proxy evidence only.",2026-09-19,title_abstract_fulltext_screening
doi:10.1111/gcb.71074,context_only,"Experimental warming measures plant-pollinator temporal synchrony and both plant/bee fitness, but synchrony remains maintained while fitness declines through physiological/behavioral pathways; no recoverable mismatch-to-plant-fitness effect for strict H1.",2026-09-19,title_abstract_fulltext_screening
doi:10.1007/s11258-009-9690-4,context_only,"Ficus altissima crop phenology and seed/pollinator reproductive success vary seasonally, but seasonal fitness variation is not estimated as a direct host-pollinator temporal-matching effect and is strongly linked to non-pollinating fig wasps.",2026-09-19,title_abstract_fulltext_screening
doi:10.1016/j.cris.2021.100022,context_only,"Crop flowering and squash-bee emergence synchrony is quantified directly, but the study does not measure crop fruit/seed yield as a response to synchrony; plant final-fitness endpoint is absent.",2026-09-19,title_abstract_fulltext_screening
doi:10.1111/j.0030-1299.2007.15644.x,context_only,"Silene study quantifies fitness contributions of diurnal pollinators and Hadena, but the focal contrast is pollinator identity/service rather than plant-partner phenological matching.",2026-09-19,title_abstract_fulltext_screening
