study_id,priority,target_lane,evidence_tier,timing_metric_type,outcome_family,effect_route,data_availability,dependence_cluster,next_action
IWE001,0,strict_h1,A,partner_minus_plant_one_sided,seed_set,fisher_z_from_population_year_table,public_ecological_archives,DEP_CORYDALIS_KUDO,"REPAIRED: retain mismatch>=0 within site; validate in CI and treat later Corydalis publications as overlapping until mapped"
IWE002,1,strict_h1,A,plant_minus_partner_one_sided,seed_set,fisher_z_or_model_slope_from_year_or_plot_data,public_dryad_xlsx,DEP_CORYDALIS_KUDO,"Recover Dryad workbook; map 1999-2017 rows against IWE001 and extract only non-overlapping or jointly modelled evidence"
IWE008,1,strict_h1_directional,A,peak_lag_directional,seed_set,study_species_effects_or_model_coefficients,full_text_verified_data_route_pending,DEP_QILIAN_2024,"Recover source data/supplement; preserve flower-earlier and pollinator-earlier directions separately before any H1 transformation"
IWE011,1,strict_h1_antagonist,A,seasonal_position_with_predator_window,final_fruit_set,"raw_data_reanalysis: flowering timing relative to oviposition window -> intact reproductive output",public_hokkaido_repository,DEP_PEUCEDANUM_KUDO,"Fetch DOI 10.14943/hu95572 files; map overlap with IWE010; derive final-fitness timing effect without treating predation rate alone as fitness"
IWE014,1,strict_h1_mixed,A,seasonal_position_with_hadena_window,seed_set,"recover early/late or continuous seasonal effect with final seed output",article_tables_or_full_text,DEP_SILENE_VULGARIS_HADENA,"Extract effect and variance; keep pollination benefit and seed-predation cost as separate channels when reported"
IWE005,2,strict_window_or_timing_sensitivity,A,experimental_plant_shift,seeds_per_single_visit,"standardized_mean_difference or registered contrast ordered by measured pollinator effectiveness window",public_figshare,DEP_RAFFERTY_IVES_2012,"Recover supporting data and determine whether treatments can be ordered by interaction-window matching rather than calendar date alone"
IWE013,2,strict_h1_mixed,A,partner_presence_window,fruit_seed_set,"month/window contrast conditional on Hadena presence and co-pollinator service",open_full_text,DEP_SILENE_LATIFOLIA_HADENA,"Extract natural monthly fecundity/predation and experimental day/night contribution; do not collapse co-pollinator buffering into Hadena-only effect"
IWE023,2,strict_window_or_timing_sensitivity,A,experimental_plant_shift,seed_set,"experimental window contrast",public_dryad,DEP_MERTENSIA_CILIATA_2020,"Check contemporaneous pollinator availability ordering; retain null seed-set timing response if qualified"
IWE024,2,strict_window,A,experimental_plant_shift,seed_set,"snow-removal/greenhouse timing contrast with measured pollinator service",source_data_route_to_verify,DEP_CLAYTONIA_TIMING,"Extract seed-set contrasts and separate manipulation pathways"
IWE027,2,strict_h1,A,seasonal_position_with_bumblebee_activity,seed_set,"site-year early/mid/late effect with observed bumblebee visitation",full_text_tables,DEP_PHYLLODOCE_2006_2007,"Recover site-year effects; avoid pooling emasculation and intact-flower outcomes without dependence structure"
IWE028,2,strict_h1_antagonist,A,seasonal_position_with_predator_emergence,seed_set,"transplant removal-time effect and/or population timing effect",full_text_required,DEP_TRIPOLIUM_PAROXYNA,"Extract final seed output and attack jointly; test whether timing contrast maps monotonically to predator availability"
IWE022,3,strict_h1_candidate,A,seasonal_position_with_bee_emergence,viable_seed,"joint seasonal slope or matched window effect",public_dryad,DEP_TRIFOLIUM_BARNEBYI,"Join plant seed outcomes and bee capture timing at compatible site/date grain before admission"
IWE029,3,strict_h1_directional,A,overlap_window,total_fitness,"peak-vs-late overlap contrast",open_pmc_supplement_to_check,DEP_STIGMAPHYLLON_2020,"Recover direct overlap variable and plant total-fitness outcome; distinguish selection-on-traits from main synchrony-fitness estimand"
