study_id,interaction_type,primary_gate_gain_if_closed,source_eligible,blocker_type,reconstruction_state,target_effect_family,priority,next_action,terminal_if_unrecovered
IWE067,antagonist,1,true,data_access,reconstruction_implemented,fisher_z,1,"Materialize Dryad D18D7B and D10X1R by a valid public/source route; run the already-frozen 2017/2018 control reconstruction unchanged.","Document inaccessible raw files and retain unresolved_strict; do not change estimand."
IWE059,mixed_pollinating_seed_predator,1,true,fulltext_or_source_data_access,effect_contract_defined,unknown_common_scale_route,1,"Recover crop-level timing/seed statistics or raw data from a source-authorized full text/repository; preserve fig size and extended receptivity.","If no timing-to-final-seed coefficient/variance is recoverable, adjudicate to context_only."
IWE035,antagonist,1,true,effect_variance_missing,source_design_adjudicated,unknown_common_scale_route,1,"Recover article table/raw data containing a direct timing/enemy-exposure to final-fitness coefficient plus uncertainty.","If only flowering-date selection/mediation remains recoverable, adjudicate to timing context."
IWE071,antagonist,1,true,table_uncertainty_missing,source_design_adjudicated,group_level_or_fisher_z,2,"Recover week-by-year weevil incidence and fully developed seeds/head with uncertainty/sample structure from the published source.","If week-specific final-fitness uncertainty remains unavailable, retain timing context."
IWE072,antagonist,1,true,temporal_group_uncertainty_missing,source_design_adjudicated,contrast_or_fisher_z,2,"Recover before/after oviposition-window seed output at plant/head grain with denominators and uncertainty.","If only season totals remain available, retain timing context."
IWE074,antagonist,1,true,fulltext_table_access,source_design_adjudicated,overlap_to_seed_set,2,"Recover dated consumer-pressure and flowering/seed-set tables with replicate uncertainty from the published study.","If species timing can only be ranked after seeing seed set, retain context."
IWE075,antagonist,1,true,crop_level_data_missing,source_design_adjudicated,fisher_z_or_registered_contrast,2,"Recover crop/date-level bruchid oviposition and final surviving-seed data with variance.","If only narrative seasonal escape/aggregate predation is recoverable, retain context."
IWE008,mutualist,1,true,effect_variance_missing,directional_estimand_defined,fisher_z_or_model_coefficient,2,"Recover signed peak-lag to seed-set coefficient/covariance while preserving mismatch direction and study dependence.","If no quantitative coefficient/variance is recoverable, retain directional context."
IWE022,mutualist,1,true,data_join_required,source_data_available,fisher_z_or_model_coefficient,2,"Join plant viable-seed outcomes and bee-capture timing at compatible site/date grain before deciding strict admission.","If partner activity cannot be matched at compatible grain, adjudicate to timing context."
IWE027,mutualist,1,true,table_recovery_required,source_design_adjudicated,group_level_or_fisher_z,2,"Recover site-year early/mid/late seed-set effects together with observed bumblebee activity and dependence structure.","If partner activity cannot independently order timing states, retain context."
IWE070,mixed_pollinating_seed_predator,1,false,raw_data_and_source_eligibility,metric_identified_but_net_outcome_missing,fisher_z_or_model_coefficient,3,"Locate plant-level synchrony plus final surviving-fruit/seed data and a corresponding source eligible under SOURCE_ELIGIBILITY.md.","Without an eligible published final-net synchrony effect, keep outside the primary gate."
IWE078,antagonist,0,false,source_eligibility,reconstruction_complete,fisher_z,3,"Check for a corresponding formally published research article; do not alter the already-reconstructed effects.","Remain provisional and excluded from the primary programme gate while dataset-only."
IWE002,mutualist,0,true,dependence_overlap,source_data_recovery_pending,fisher_z_or_model_coefficient,3,"Recover Dryad workbook only for non-overlapping/joint modelling with IWE001; this cannot create an independent programme by itself.","Retain within DEP_CORYDALIS_KUDO rather than inflating programme count."
IWE066,mixed_pollinating_seed_predator,0,true,curvature_data_missing,shape_evidence_closed,quadratic_shape,3,"Recover day-specific group means/uncertainty or raw data for preregistered H2 curvature, not H1 replication.","Keep qualitative interior-peak H2 evidence if quantitative curvature stays unrecoverable."
