study_id,source_id,discovery_route,discovered_date,system_cluster_key,sha256_prefix,outcome_seen_before_hash,shape_holdout_eligible,screening_status,notes
IWE041,10.1007/s11258-009-9620-5,post_freeze_mixed_system_search,2026-09-17,Dianthus|Hadena,5bdb4b54,true,false,context_only,"Outcome direction was visible in discovery material before holdout assignment; cannot serve as blind shape confirmation. Hash itself also falls outside reserved 0-3 prefix."
IWE042,10.1371/journal.pone.0098755,post_freeze_mixed_system_citation_closure,2026-09-17,Silene|Hadena,8b19b0a5,true,false,context_only,"Search/abstract exposed the focal seed-predation result before holdout adjudication; no final plant-fitness synchrony effect."
IWE043,10.1111/j.1420-9101.2011.02436.x,post_freeze_mixed_system_citation_closure,2026-09-17,Silene|Hadena,8b19b0a5,true,false,context_only,"Same biological cluster as IWE042; outcome was visible before hash assignment and the paper lacks a partner-synchrony exposure."
IWE044,10.2307/3545936,post_freeze_mixed_system_citation_closure,2026-09-17,Silene|Hadena,8b19b0a5,true,false,context_only,"Timing-fitness direction was visible in discovery snippet before hash adjudication; anther-smut adds a third interacting agent."
IWE045,10.1111/j.0030-1299.2004.12625.x,post_freeze_mixed_system_citation_closure,2026-09-17,Silene|Hadena,8b19b0a5,true,false,context_only,"Direct plant-moth phenological overlap is reported, but plant final fitness is not the focal endpoint; not shape holdout."
IWE046,10.1111/j.0030-1299.2004.12641.x,post_freeze_review_backward_search,2026-09-17,Castilleja|seed_predator_guild,8d98e469,true,false,context_only,"Pollination and seed-predation pathways are visible in abstract; timing is not the manipulated/exposure axis."
IWE047,10.1007/s004420050136,post_freeze_review_backward_search,2026-09-17,Ipomopsis|Hylemya,03bd8810,true,false,context_only,"Hash prefix would otherwise fall in the reserved 0-3 range, but outcome/design were already visible before assignment, so the record is explicitly ineligible for blind shape holdout."
IWE048,10.1111/j.1440-1703.2003.00630.x,post_freeze_mutualist_citation_closure,2026-09-17,Corydalis|Bombus,443f752c,true,false,context_only,"Historical precursor to direct Corydalis mismatch studies; article outcome was visible before hash assignment and overlaps the same research programme."
IWE049,10.2307/1937745,post_freeze_frozen_antagonist_query,2026-09-17,Hybanthus|seed_predator_guild,b23088ef,true,false,context_only,"Population flowering synchrony and reproductive success are tested experimentally with pollinator/seed-predator effects, but partner temporal matching is not the exposure. Outcome was visible during search."
IWE050,10.1007/s13744-014-0213-1,post_freeze_frozen_antagonist_query,2026-09-17,Erythrina|seed_predator_guild,a70b5b39,true,false,context_only,"Early/peak/late flowering seed-predation rates were visible in abstract before hash assignment; endpoint is predation rate, not final plant fitness."
IWE051,10.1111/j.1420-9101.2009.01908.x,post_freeze_frozen_antagonist_query,2026-09-17,Ulex|seed_predator_guild,2f4e0e71,true,false,context_only,"Hash prefix would place this cluster in the reserved shape holdout, but temporal-escape/predator-satiation outcome was already visible during search; therefore explicitly ineligible for blind confirmation."
IWE052,10.1086/598492,post_freeze_frozen_antagonist_query,2026-09-17,Lathyrus|seed_predator_guild,e9a18bce,true,false,context_only,"Seven-year multi-agent flowering-time selection result visible before hash assignment; no direct partner-overlap metric."
