adjudication_id,study_id,component,strict_h1_status,quantitative_status,expected_effect_id,timing_metric_type,timing_analysis_class,timing_domain,effect_family,reason
ADJ_IWE001_WHOLE,IWE001,whole_site_signed_lag,ineligible,native_extracted,,partner_minus_plant,unresolved_for_strict_h1,both_sides,fisher_z,"All three site correlations span both sides of exact matching; a whole-site signed slope cannot be oriented as monotonic synchrony."
ADJ_IWE002_LONGTERM,IWE002,long_term_signed_lag,ineligible,pending_alternative,,plant_minus_partner,unresolved_for_strict_h1,both_sides,,"The extended Nopporo series is two-sided and overlaps IWE001; only one-sided or otherwise reparameterized alternatives may be extracted."
ADJ_IWE002_SNOW,IWE002,snow_removal_pooled,ineligible,pending_alternative,,experimental_plant_shift,direct_timing_sensitivity,not_applicable,,"Snow removal is not consistently ordered by distance from bee emergence across years."
ADJ_IWE004_SEASONAL,IWE004,seasonal_bud_opening,ineligible,pending_sensitivity,,seasonal_position,direct_timing_sensitivity,not_applicable,,"Julian date is not a monotonic partner-synchrony axis: bee abundance rises through the season while visitation and total visits decline through co-flowering competition and floral longevity."
ADJ_IWE029_NP,IWE029,late_vs_peak_natural_seed_set,eligible,strict_extracted,IWE029_LATE_VS_PEAK_NP_LOGOR,seasonal_position,strict_window,ordered_by_measured_window,log_odds_ratio,"Peak and late sampling windows were prospectively selected to represent scarce versus high pollinator activity; measured legitimate-visit marks were 7.5% versus 93.6%, and natural-pollination seed set is modeled directly."
ADJ_IWE028_RANK,IWE028,flowering_rank_attack,ineligible,not_applicable,,seasonal_position,,not_applicable,,"The paper measures flower-head rank, ovule number (potential seed set), and P. plantaginis attack. Realized seed set is a later model reconstruction with no recoverable sampling variance and combines intrinsic rank-related seed potential with attack risk; no direct final-fitness strict-H1 effect is available."
IWE010_FINAL,IWE010,flowering_window_to_intact_fruits,unresolved,pending,,seasonal_position,strict_window,ordered_by_measured_window,standardized_mean_difference,"Published fruit number was defined before intensive predation and included later-predated fruits, so it measures pollination success rather than final reproduction. Archived raw reproductive data may support a final intact-fruit reconstruction."
IWE011_HA_HD,IWE011,HA_vs_HD_final_fruit_set,eligible,strict_extracted,IWE011_HA_VS_HD_FINALSET_SMD,seasonal_position,strict_window,ordered_by_measured_window,standardized_mean_difference,"HA is the mid-July high-overlap end of the measured moth oviposition window and HD is the latest August low-overlap end. Table 1 directly reports final intact-fruit-set means, SDs and n for both plots."
ADJ_IWE015_2012,IWE015,2012_Hadena_dominant_vs_copollinator_dominant_successful_fruits,eligible,strict_extracted,IWE015_2012_EARLY_VS_LATE_SUCCESSFRUIT_SMD,seasonal_position,strict_window,ordered_by_measured_window,standardized_mean_difference,"Adult H. ectypa abundance peaks early and the early/late experiments were explicitly conducted in Hadena-dominant versus co-pollinator-dominant windows; successful fruits are final initiated fruits surviving H. ectypa predation."
ADJ_IWE015_2013,IWE015,2013_Hadena_dominant_vs_copollinator_dominant_successful_fruits,eligible,strict_extracted,IWE015_2013_EARLY_VS_LATE_SUCCESSFRUIT_SMD,seasonal_position,strict_window,ordered_by_measured_window,standardized_mean_difference,"Adult H. ectypa abundance peaks early and the early/late experiments were explicitly conducted in Hadena-dominant versus co-pollinator-dominant windows; successful fruits are final initiated fruits surviving H. ectypa predation."
ADJ_IWE027_2007_HIS,IWE027,2007_HIS_middle_vs_early_natural_seed_set,eligible,strict_extracted,IWE027_2007_HIS_M_VS_E_SEEDSET_SMD,seasonal_position,strict_window,ordered_by_measured_window,standardized_mean_difference,"Only 2007 is admitted because partner activity was directly measured that year. E flowering falls in the early low-visit period, while M flowering follows the late-July worker emergence and abrupt increase in bumble-bee visits; intact natural seed set is reported as mean±SE+n."
ADJ_IWE027_2007_GOS,IWE027,2007_GOS_middle_vs_early_natural_seed_set,eligible,strict_extracted,IWE027_2007_GOS_M_VS_E_SEEDSET_SMD,seasonal_position,strict_window,ordered_by_measured_window,standardized_mean_difference,"Only 2007 is admitted because partner activity was directly measured that year. E flowering falls in the early low-visit period, while M flowering follows the late-July worker emergence and abrupt increase in bumble-bee visits; intact natural seed set is reported as mean±SE+n."
ADJ_IWE027_2006,IWE027,2006_middle_vs_early_natural_seed_set,ineligible,pending,,seasonal_position,direct_timing_sensitivity,not_applicable,standardized_mean_difference,"Natural seed set was measured in 2006, but bumble-bee seasonal activity was directly measured only in 2007. IWE does not back-project the 2007 partner-activity ordering to create strict-H1 2006 effects."
ADJ_IWE013_EARLY_LATE,IWE013,early_vs_late_seed_predation_and_offspring,ineligible,not_applicable,,seasonal_position,direct_timing_sensitivity,not_applicable,standardized_mean_difference,"The 2008 study did not contemporaneously measure Eupithecia immundata activity; its mid-to-late-June oviposition window is cited from Eriksson 1995 and von Zeipel et al. 2006. The frozen contract does not back-project historical partner activity to create a strict synchrony contrast. Early/late outcomes are repeated measures within mother plants, and published summaries do not provide paired SMD variance."
