study_id,adjudication_date,prior_status,current_status,current_lane,reason
IWE004,2026-09-16,include,context_only,direct_seasonal_timing,"Pulsatilla study links Julian flowering date to estimated bee visitation and seed set, but it does not identify a plant-minus-partner or overlap exposure with a focal partner activity curve. Retain as timing-mediated pollination evidence, not strict H1 synchrony."
IWE005,2026-09-17,include,context_only,direct_seasonal_timing,"Experimental flowering weeks, visitor composition/rates and single-visit seed set are measured, but the authors state comparable insect phenology data are unavailable. Calendar week cannot be prospectively ordered as partner synchrony without using pollinator effectiveness/seed outcome itself, so the week slope is retained as timing sensitivity rather than strict H1."
IWE015,2026-09-16,include,context_only,direct_seasonal_timing,"Early versus late Silene stellata windows switch from Hadena-dominant to co-pollinator-dominant regimes but are not a quantitative synchrony metric. Year-specific final-fitness contrasts remain in timing_sensitivity_effects.csv."
IWE010,2026-09-16,unresolved,context_only,direct_seasonal_timing,"Peucedanum flowering date is positioned relative to a known seasonal seed-predator oviposition window, but partner activity is not measured as a matched continuous population-year overlap exposure."
IWE011,2026-09-16,unresolved,context_only,direct_seasonal_timing,"Four-year Peucedanum selection mosaic is strong timing evidence but does not provide the same explicit synchrony exposure required for strict H1."
IWE012,2026-09-16,unresolved,context_only,direct_seasonal_timing,"Predator presence changes selection on Gentiana flowering time, but a continuous partner-activity overlap exposure is not measured."
IWE014,2026-09-17,unresolved,context_only,direct_seasonal_timing,"Silene vulgaris links seasonal flowering position to pollination, Hadena predation and final seed set, but no independently measured Hadena activity curve identifies a strict plant-partner synchrony exposure."
IWE019,2026-09-17,unresolved,context_only,direct_partner_timing_context,"Ficus pumila directly measures receptive-fig phenology and Wiebesia emergence and documents seasonal abortion/seed failure, but no synchrony-to-final-seed effect with recoverable sampling variance is estimated."
IWE028,2026-09-16,unresolved,context_only,direct_seasonal_timing,"Tripolium study shows early flowers escape attack and infers a lag before high ovipositing-female density, but the partner activity/emergence curve is not independently measured as the exposure. The inferred lag cannot satisfy strict synchrony H1."
IWE068,2026-09-17,unresolved_strict,include,strict_h1,"Pinned public Maxfield 2021 raw data were reconstructed under the prospectively frozen leave-one-out overlap contract. The control-normal subset yielded n=11, r=-0.0522490931, Fisher z=-0.0522967173, variance=0.125. The registered direct-effect row is locked by CI to the pinned raw-data reconstruction."
IWE023,2026-09-18,include,context_only,direct_seasonal_timing,"Flowering onset was experimentally shifted and contemporaneous visitor rates/composition plus final seed set were measured, but no independent partner-activity curve or predeclared matching metric orders the four weeks by plant-partner synchrony. The null seed-set result remains valuable timing-sensitivity evidence."
IWE024,2026-09-18,include,context_only,direct_seasonal_timing,"Snow and greenhouse manipulations shifted Claytonia flowering and measured visitation, fruit/seed set and pollen limitation, but the study explicitly attributes early costs largely to frost and late costs to low visitation rather than identifying a direct plant-partner mismatch variable. Retain as multi-mechanism timing evidence."
IWE025,2026-09-18,include,context_only,direct_seasonal_timing,"Factorial flowering-week × water manipulation measures visitation and seed production, but calendar flowering week is not converted from an independently observed pollinator activity distribution into a registered synchrony/mismatch exposure. Retain as timing/abiotic sensitivity, not strict H1."
