record_key,doi,title,publication_year,record_type,families,screening_priority,title_priority_score,priority_reasons,source_type_bucket,source_type_next_action
doi:10.1111/ecog.07240,10.1111/ecog.07240,Untangling the plant reproductive success of changing community composition and pollinator foraging choices,2024,article,mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1007/s00606-023-01845-3,10.1007/s00606-023-01845-3,"Comparative pollination ecology, fruit and seed set in Corunastylis species (Orchidaceae)",2023,article,mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1002/ajb2.16123,10.1002/ajb2.16123,Differences in individual flowering time change pollen limitation and seed set in three montane wildflowers.,2023,"Journal Article,Research Support, Non-U.S. Gov't",mutualist,P2,6,timing_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1002/ajb2.16160,10.1002/ajb2.16160,"Fire effects on plant reproductive fitness vary among individuals, reflecting pollination-dependent mechanisms.",2023,"Journal Article,Research Support, Non-U.S. Gov't,Research Support, U.S. Gov't, Non-P.H.S.",mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1016/j.eja.2023.126909,10.1016/j.eja.2023.126909,Influence of pollination treatments and temperature regimes on progamic phase and fruit set in three European plum (Prunus domestica L.) cultivars tollerant/resistant to Sharka virus,2023,article,mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1086/726040,10.1086/726040,"Intraspecific Variation in Phenology and Reproductive Success ofMicrolicia laniflora: A Narrow-Endemic Species, Naturally Isolated on Rocky Outcrops",2023,article,mutualist,P2,6,timing_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1016/j.actao.2023.103974,10.1016/j.actao.2023.103974,"Management practices of Cereus jamacaru DC in the Caatinga dry forest differentially affect its reproductive phenology, fruit set and nectar availability",2023,article,mutualist,P2,6,timing_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1093/aob/mcad121,10.1093/aob/mcad121,"Nitrogen addition affects floral and vegetative traits, reproduction, and pollinator performance in Capsicum annuum L.",2023,article,mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.5194/we-23-51-2023,10.5194/we-23-51-2023,Plant spatial aggregation modulates the interplay between plant competition and pollinator attraction with contrasting outcomes of plant fitness,2023,article,mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1086/726084,10.1086/726084,Pollen Supplementation Alters How Flowering Phenology Affects Reproduction in a Spring-Flowering Herb,2023,article,mutualist,P2,6,timing_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.32604/phyton.2022.020768,10.32604/phyton.2022.020768,"Changes in Florets’ Vertical Direction within Inflorescence Affects Pollinator Behavior, and Fitness in Trifolium repens",2022,article,mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1016/j.sajb.2022.02.018,10.1016/j.sajb.2022.02.018,"Colour similarity to flowering neighbours promotes pollinator visits, pollen receipt and maternal fitness",2022,article,mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1007/s10265-022-01373-0,10.1007/s10265-022-01373-0,Higher frequency of legitimate pollinators and fruit set of autotetraploid trees of Libidibia ferrea (Leguminosae) compared to diploids in a mixed tropical urban population.,2022,Journal Article,mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1016/j.ecolmodel.2022.110074,10.1016/j.ecolmodel.2022.110074,Honey bee (Apis mellifera) hive placement is more influential than orchard layout on the fruit set of a dioecious crop,2022,article,mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1111/evo.14544,10.1111/evo.14544,Mating and fitness consequences of variation in male allocation in a wind-pollinated plant.,2022,"Journal Article,Research Support, Non-U.S. Gov't,Research Support, U.S. Gov't, Non-P.H.S.",mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1093/aob/mcac008,10.1093/aob/mcac008,Mixed pollination system and floral signals of Paepalanthus (Eriocaulaceae): insects and geitonogamy ensure high reproductive success.,2022,"Journal Article,Research Support, Non-U.S. Gov't",mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1111/1365-2435.14233,10.1111/1365-2435.14233,Reduced seed set under water deficit is driven mainly by reduced flower numbers and not by changes in flower visitations and pollination,2022,article,mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1016/j.actao.2022.103866,10.1016/j.actao.2022.103866,Spatial isolation impacts pollinator visitation and reproductive success of a threatened self-incompatible Mediterranean tree,2022,article,mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1007/s11258-020-01104-2,10.1007/s11258-020-01104-2,Flowering phenology and reproduction of a forest understorey plant species in response to the local environment,2021,article,antagonist,P2,6,timing_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1007/s00035-021-00248-9,10.1007/s00035-021-00248-9,Habitat-specific effects of flowering advance on fruit-set success of alpine plants: a long-term record of flowering phenology and fruit-set success of Rhododendron aureum,2021,article,mutualist,P2,6,timing_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1007/s10980-021-01353-0,10.1007/s10980-021-01353-0,Landscape floral resources provided by rapeseed correlate with next-year reproduction of cavity-nesting pollinators in a national participatory monitoring program,2021,article,mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1016/j.baae.2021.07.005,10.1016/j.baae.2021.07.005,Landscapes with high amounts of mass-flowering fruit crops reduce the reproduction of two solitary bees,2021,article,mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1007/s11258-021-01176-8,10.1007/s11258-021-01176-8,"Stigmas arrangement, reproductive system, and maternal reproductive success in two species of Stigmaphyllon (Malpighiaceae): does pollinator size matter?",2021,article,mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1002/ece3.7747,10.1002/ece3.7747,The impacts of flowering phenology on the reproductive success of the narrow endemic Nouelia insignis Franch. (Asteraceae).,2021,Journal Article,mutualist,P2,6,timing_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1093/aob/mcaa163,10.1093/aob/mcaa163,The role of individual variation in flowering and pollination in the reproductive success of a crepuscular buzz-pollinated plant.,2021,"Journal Article,Research Support, Non-U.S. Gov't",mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1016/j.envpol.2021.116754,10.1016/j.envpol.2021.116754,Trophic match/mismatch and reproduction of the pied flycatcher Ficedula hypoleuca in a metal-polluted area.,2021,Journal Article,antagonist,P2,6,timing_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.3389/fevo.2021.680463,10.3389/fevo.2021.680463,Variation in Manduca sexta Pollination-Related Floral Traits and Reproduction in a Wild Tobacco Plant,2021,article,mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1073/pnas.1907320117,10.1073/pnas.1907320117,Fire synchronizes flowering and boosts reproduction in a widespread but declining prairie species.,2020,"Journal Article,Research Support, Non-U.S. Gov't,Research Support, U.S. Gov't, Non-P.H.S.",mutualist,P2,6,timing_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1111/1442-1984.12268,10.1111/1442-1984.12268,Gender specialization and factors affecting fruit set of the wind‐pollinated heterodichogamous Juglans regia,2020,article,mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1002/ecy.2946,10.1002/ecy.2946,"Limitation of complementary resources affects colony growth, foraging behavior, and reproduction in bumble bees.",2020,Journal Article,mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1186/s12870-020-02356-w,10.1186/s12870-020-02356-w,Phenological variation of flower longevity and duration of sex phases in a protandrous alpine plant: potential causes and fitness significance.,2020,Journal Article,mutualist,P2,6,timing_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1111/1365-2745.13348,10.1111/1365-2745.13348,"Pollinator‐mediated facilitation is associated with floral abundance, trait similarity and enhanced community‐level fitness",2020,article,mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.25710/hvwa-qp48,10.25710/hvwa-qp48,"The effects of a widespread, showy invasive plant (Rubus armeniacus) on pollinator visitation rates, pollen deposition, and seed set in a rare native wildflower (Sidalcea hendersonii)",2020,article,antagonist;mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1002/ece3.5952,10.1002/ece3.5952,"Wildflower plantings promote blue orchard bee, Osmia lignaria (Hymenoptera: Megachilidae), reproduction in California almond orchards",2020,article,mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.3390/d11080123,10.3390/d11080123,"A Comprehensive Study of Orchid Seed Production Relative to Pollination Traits, Plant Density and Climate in an Urban Reserve in Western Australia",2019,article,mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.3390/ijerph16091663,10.3390/ijerph16091663,Effects of Simulated Herbivory on the Vegetative Reproduction and Compensatory Growth of Hordeum brevisubulatum at Different Ontogenic Stages.,2019,"Journal Article,Research Support, Non-U.S. Gov't",antagonist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.30635/2415-0142.2020.06.01,10.30635/2415-0142.2020.06.01,"Floral Behaviour, Flowering Phenology and Fruit Production of Passion Fruit (Passiflora Species) in East Malaysia",2019,article,mutualist,P2,6,timing_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1016/j.dib.2019.104177,10.1016/j.dib.2019.104177,"Flowering and fruiting synchronization, pollen number, floral visitors and reproductive success of Paubrasilia echinata (brazilwood; Leguminosae) in tropical urban ecosystem in comparison to Atlantic forest remnant: A dataset description.",2019,Journal Article,mutualist,P2,6,timing_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1371/journal.pone.0213029,10.1371/journal.pone.0213029,Morphospace exploration reveals divergent fitness optima between plants and pollinators,2019,article,mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1016/j.foreco.2019.117593,10.1016/j.foreco.2019.117593,"Phenology, flowering and fruit-set patterns of baobabs, Adansonia digitata, in southern Africa",2019,article,mutualist,P2,6,timing_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1080/09064710.2019.1620322,10.1080/09064710.2019.1620322,"Phenology, flowering and fruit-set performance of six recent pear cultivars of Nordic origin",2019,article,mutualist,P2,6,timing_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1002/ecy.2803,10.1002/ecy.2803,The role of pollination effectiveness on the attributes of interaction networks: from floral visitation to plant fitness.,2019,"Journal Article,Research Support, Non-U.S. Gov't",mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1080/15230430.2018.1548866,10.1080/15230430.2018.1548866,Climate and synchrony with conspecifics determine the effects of flowering phenology on reproductive success inSilene acaulis,2018,article,mutualist,P2,6,timing_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1111/nph.15108,10.1111/nph.15108,Correlated seed failure as an environmental veto to synchronize reproduction of masting plants.,2018,"Journal Article,Research Support, Non-U.S. Gov't,Research Support, U.S. Gov't, Non-P.H.S.",mutualist,P2,6,timing_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.11648/j.ajaf.20180605.16,10.11648/j.ajaf.20180605.16,Effect of Flower Pollination on Fruit Set and Cropping in Apple,2018,article,mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1016/j.agee.2018.04.014,10.1016/j.agee.2018.04.014,Effects of herbicide and nitrogen fertilizer on non-target plant reproduction and indirect effects on pollination in Tanacetum vulgare (Asteraceae),2018,article,mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1111/oik.04882,10.1111/oik.04882,Pollinator‐mediated mechanisms for increased reproductive success in early flowering plants,2018,article,mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.14203/bkr.v20i2.420,10.14203/bkr.v20i2.420,REPRODUCTION PHENOLOGY OF Hydriastele beguinii (Buret) W.J. Baker & Loo IN BOGOR BOTANIC GARDENS,2018,article,mutualist,P2,6,timing_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.15517/rbt.v59i4.33323,10.15517/rbt.v59i4.33323,"Reproduction, pollination and seed predation of Senna multijuga (Fabaceae) in two protected areas in the Brazilian Atlantic forest",2018,article,antagonist;mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1038/s41467-017-02348-9,10.1038/s41467-017-02348-9,Inter-annual and decadal changes in teleconnections drive continental-scale synchronization of tree reproduction.,2017,Journal Article,mutualist,P2,6,timing_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1111/een.12428,10.1111/een.12428,"Larval food affects oviposition preference, female fecundity and offspring survival in Y ponomeuta evonymellus",2017,article,antagonist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1002/ece3.2899,10.1002/ece3.2899,Pollinator preference and pollen viability mediated by flower color synergistically determine seed set in an Alpine annual herb.,2017,Journal Article,mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1590/0102-33062016abb0236,10.1590/0102-33062016abb0236,Does inter-plant variation in sprouting time affect the growth/reproduction trade-off and herbivory in a tropical tree species?,2016,article,antagonist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1093/aobpla/plw007,10.1093/aobpla/plw007,Effects of flowering phenology and synchrony on the reproductive success of a long-flowering shrub.,2016,Journal Article,mutualist,P2,6,timing_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.7717/peerj.2250,10.7717/peerj.2250,Flower diversity and bee reproduction in an arid ecosystem.,2016,Journal Article,mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1016/j.flora.2016.03.001,10.1016/j.flora.2016.03.001,"Herbivory and fitness components in an introgressive hybrid swarm of Senecio hercynicus and S. ovatus (Compositae, Senecioneae)",2016,article,antagonist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.3955/046.089.0104,10.3955/046.089.0104,"Despite Extensive Pollinator Sharing, Invasive Blackberry has Negligible Impacts on Reproductive Success of a Rare Native Wildflower",2015,article,mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1674/amid-173-02-229-240.1,10.1674/amid-173-02-229-240.1,Enhancing Monarch Butterfly Reproduction by Mowing Fields of Common Milkweed,2015,article,antagonist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1111/oik.02988,10.1111/oik.02988,Herbivore‐induced changes in flower scent and morphology affect the structure of flower–visitor networks but not plant reproduction,2015,article,antagonist;mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1111/eea.12337,10.1111/eea.12337,Herbivory affects male and female reproductive success differently in dioecious Silene latifolia,2015,article,mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1111/jfb.12563,10.1111/jfb.12563,Intra-population trends in the maturation and reproduction of a temperate marine herbivore Girella elevata across latitudinal clines.,2015,Journal Article,antagonist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1007/s00442-014-3193-2,10.1007/s00442-014-3193-2,Lagged effects of early-season herbivores on valley oak fecundity.,2015,"Journal Article,Research Support, Non-U.S. Gov't",antagonist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1111/1365-2656.12361,10.1111/1365-2656.12361,Parasitoid wasps indirectly suppress seed production by stimulating consumption rates of their seed-feeding hosts.,2015,"Journal Article,Research Support, Non-U.S. Gov't",antagonist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1007/s00484-013-0727-y,10.1007/s00484-013-0727-y,"Anthropogenic edges, isolation and the flowering time and fruit set of Anadenanthera peregrina, a cerrado savanna tree.",2014,"Journal Article,Research Support, Non-U.S. Gov't",antagonist,P2,6,timing_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1111/oik.01491,10.1111/oik.01491,"Are mismatches the norm? Timing of flowering, fruiting, dispersal and germination and their fitness effects in Frangula alnus (Rhamnaceae)",2014,article,mutualist,P2,6,timing_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1371/journal.pone.0105051,10.1371/journal.pone.0105051,"Clonal structure, seed set, and self-pollination rate in mass-flowering bamboo species during off-year flowering events.",2014,"Journal Article,Research Support, Non-U.S. Gov't",mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.3732/ajb.1400210,10.3732/ajb.1400210,"Effects of apical meristem mining on plant fitness, architecture, and flowering phenology in Cirsium altissimum (Asteraceae).",2014,Journal Article,antagonist,P2,6,timing_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1007/s10530-014-0775-1,10.1007/s10530-014-0775-1,Invasive conifers reduce seed set of a native Andean cedar through heterospecific pollination competition,2014,article,mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1890/13-1720.1,10.1890/13-1720.1,Masting promotes individual- and population-level reproduction by increasing pollination efficiency.,2014,"Journal Article,Research Support, Non-U.S. Gov't,Research Support, U.S. Gov't, Non-P.H.S.",mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1111/plb.12146,10.1111/plb.12146,Nectar secretion dynamic links pollinator behavior to consequences for plant reproductive success in the ornithophilous mistletoe P sittacanthus robustus,2014,article,mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.5281/zenodo.19670251,10.5281/zenodo.19670251,"Plant size, flowering synchrony and edge effects: What, how and where they affect the reproductive success of a Neotropical tree species: Reproductive Success in Senefeldera Verticillata",2014,article,mutualist,P2,6,timing_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.5281/zenodo.19670252,10.5281/zenodo.19670252,"Plant size, flowering synchrony and edge effects: What, how and where they affect the reproductive success of a Neotropical tree species: Reproductive Success in Senefeldera Verticillata",2014,article,mutualist,P2,6,timing_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1080/01650521.2014.972187,10.1080/01650521.2014.972187,Pollinator sharing and low pollen–ovule ratio diminish reproductive success in two sympatric species ofPortulaca(Portulacaceae),2014,article,mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1007/s13592-013-0265-y,10.1007/s13592-013-0265-y,"The effect of proximity to a honeybee apiary on bumblebee colony fitness, development, and performance",2014,article,mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1017/s0266467413000588,10.1017/s0266467413000588,"Asymmetric pollen transfer and reproductive success of the hawkmoth-pollinated distylous tree Palicourea tetragona (Rubiaceae) at La Selva, Costa Rica",2013,article,mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1111/j.1438-8677.2012.00645.x,10.1111/j.1438-8677.2012.00645.x,"Local plant density, pollination and trait-fitness relationships in a perennial herb.",2013,"Journal Article,Research Support, Non-U.S. Gov't",mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
