effect_id,study_id,dataset_id,dependence_id,plant_taxon,animal_taxon,interaction_type,evidence_tier,phenology_source,timing_metric_type,timing_analysis_class,timing_domain,exposure_direction,outcome_family,effect_family,effect_native,variance_native,sample_size,source_id,site_id,year,latitude,elevation_m,island_context,specialization,redundancy,notes
IWE001_NFP_FZ,IWE001,E094-213-A1,DEP_CORYDALIS_KUDO_LONGTERM,Corydalis ambigua,Bombus spp.,mutualist,A,direct_activity,partner_minus_plant,unresolved_for_strict_h1,both_sides,mismatch,seed_set,fisher_z,-0.8334735665,0.1,13,10.1890/12-2003.1,NFP,1999-2012,,,,,,"Reconstructed from Ecological Archives Appendix A annual site rows. Native effect is Fisher z of Pearson r between signed mismatch day and natural-pollination seed set; r=-0.6823367403. Missing 2004 seed set excluded. Variance=1/(n-3). Ecological Archives row audit confirms that analyzed mismatch days span both sides of zero; the whole-site signed correlation is permanently ineligible for strict H1 and is retained only as native Tier-A evidence."
IWE001_TOEF_FZ,IWE001,E094-213-A1,DEP_CORYDALIS_KUDO_LONGTERM,Corydalis ambigua,Bombus spp.,mutualist,A,direct_activity,partner_minus_plant,unresolved_for_strict_h1,both_sides,mismatch,seed_set,fisher_z,-1.4945171706,0.1666666667,9,10.1890/12-2003.1,TOEF,1999-2008,,,,,,"Reconstructed from Ecological Archives Appendix A annual site rows. Native effect is Fisher z of Pearson r between signed mismatch day and natural-pollination seed set; r=-0.9041525384. 2004 lacks bee-detection/mismatch and is excluded. Variance=1/(n-3). Ecological Archives row audit confirms that analyzed mismatch days span both sides of zero; the whole-site signed correlation is permanently ineligible for strict H1 and is retained only as native Tier-A evidence."
IWE001_JOZ_FZ,IWE001,E094-213-A1,DEP_CORYDALIS_KUDO_LONGTERM,Corydalis ambigua,Bombus spp.,mutualist,A,direct_activity,partner_minus_plant,unresolved_for_strict_h1,both_sides,mismatch,seed_set,fisher_z,-1.1521836148,0.25,7,10.1890/12-2003.1,JOZ,1999-2012,,,,,,"Reconstructed from Ecological Archives Appendix A annual site rows. Native effect is Fisher z of Pearson r between signed mismatch day and natural-pollination seed set; r=-0.8184761715. Years without bee detection/mismatch excluded. Variance=1/(n-3). Ecological Archives row audit confirms that analyzed mismatch days span both sides of zero; the whole-site signed correlation is permanently ineligible for strict H1 and is retained only as native Tier-A evidence."
IWE029_LATE_VS_PEAK_NP_LOGOR,IWE029,PMC12464942_TABLE2,DEP_IWE029_CATIMBAU_2020,Stigmaphyllon paralias,Centris spp.,mutualist,A,direct_activity,seasonal_position,strict_window,ordered_by_measured_window,synchrony,seed_set,log_odds_ratio,1.55,0.0625,173,10.1093/aob/mcaf126,Catimbau,2020,,,,,,"Peak and late sampling windows were deliberately chosen to contrast scarce versus high pollinator activity. Legitimate oil-bee visit marks occurred on 7.5% of peak flowers (134) versus 93.6% of late flowers (140). The binomial seed-set model reports flowering-time estimate +1.55 (SE 0.25), treatment +1.41 (SE 0.24), and interaction -1.26 (SE 0.31); together with the reported group pattern these signs identify +1.55 as the late-versus-peak natural-pollination log-odds contrast. Variance=0.25^2. Model n=173 plants across flowering-time × pollination-treatment groups. Dataset is available upon request."
IWE011_HA_VS_HD_FINALSET_SMD,IWE011,JECO_2025_TABLE1,DEP_PEUCEDANUM_KUDO_PROGRAM,Peucedanum multivittatum,Phaulernis fulviguttella,antagonist,A,direct_activity,seasonal_position,strict_window,ordered_by_measured_window,synchrony,final_fruit_set,standardized_mean_difference,-1.1368391965,0.0155963310,304,10.1111/1365-2745.70130,HA_vs_HD,2020-2023,,,,,,"Timing-extreme contrast fixed from partner activity before using fitness values: predator moths concentrate oviposition in mid- to late July; HA flowers in mid-July (high overlap) and HD in early to late August (low overlap). Table 1 final fruit-set rate (intact fruits/perfect flowers): HA mean=0.13 SD=0.19 n=177; HD mean=0.40 SD=0.29 n=127. Native effect is Hedges g for high-overlap HA minus low-overlap HD, reconstructed with pooled SD and small-sample J correction; g=-1.1368391965, variance=0.0155963310. This is observational across permanent plots and retains programme-level dependence."
IWE015_2012_EARLY_VS_LATE_SUCCESSFRUIT_SMD,IWE015,EVO_2020_TABLE1_2012,DEP_SILENE_STELLATA_HADENA_MLBS,Silene stellata,Hadena ectypa,mixed_pollinating_seed_predator,A,direct_activity,seasonal_position,strict_window,ordered_by_measured_window,synchrony,successful_fruit_count,standardized_mean_difference,-0.0453662495,0.0337540056,117,10.1111/evo.13965,Mountain_Lake_Biological_Station,2012,,,,,,"Early experiment is the measured Hadena-dominant/high-overlap window; late experiment is the co-pollinator-dominant/low-Hadena-overlap window. Successful fruits are initiated fruits free from H. ectypa predation and are the paper's female reproductive-success measure. Table 1 reports early mean=2.66 SE=2.95 n=59 and late mean=3.91 SE=4.13 n=58. Source-labeled SEs are converted to SD via SE*sqrt(n), then Hedges g is reconstructed for high-overlap early minus low-overlap late: g=-0.0453662495, variance=0.0337540056."
IWE015_2013_EARLY_VS_LATE_SUCCESSFRUIT_SMD,IWE015,EVO_2020_TABLE1_2013,DEP_SILENE_STELLATA_HADENA_MLBS,Silene stellata,Hadena ectypa,mixed_pollinating_seed_predator,A,direct_activity,seasonal_position,strict_window,ordered_by_measured_window,synchrony,successful_fruit_count,standardized_mean_difference,0.0225087081,0.0358615214,110,10.1111/evo.13965,Mountain_Lake_Biological_Station,2013,,,,,,"Early experiment is the measured Hadena-dominant/high-overlap window; late experiment is the co-pollinator-dominant/low-Hadena-overlap window. Successful fruits are initiated fruits free from H. ectypa predation and are the paper's female reproductive-success measure. Table 1 reports early mean=9.77 SE=6.91 n=55 and late mean=8.60 SE=7.01 n=55. Source-labeled SEs are converted to SD via SE*sqrt(n), then Hedges g is reconstructed for high-overlap early minus low-overlap late: g=+0.0225087081, variance=0.0358615214."
IWE027_2007_HIS_M_VS_E_SEEDSET_SMD,IWE027,AOB_2009_TABLE4_HIS_2007,DEP_IWE027_TAISETSU_2007,Phyllodoce aleutica,Bombus spp.,mutualist,A,direct_activity,seasonal_position,strict_window,ordered_by_measured_window,synchrony,seed_set,standardized_mean_difference,0.8518282660,0.0885105687,48,10.1093/aob/mcp037,HIS_M_vs_E,2007,,,,,,"Strict contrast restricted to 2007 because bumble-bee activity was measured contemporaneously only that year. Early/mid-July had very low visits by queens; worker bees appeared in late July and visit frequency increased abruptly and stayed high through August. Table 4 intact natural seed set: HIS M high-overlap mean=0.77 SE=0.03 n=24 versus E low-overlap mean=0.62 SE=0.04 n=24. Source values are mean±SE; SD=SE*sqrt(n), then Hedges g for M minus E gives g=0.8518282660, variance=0.0885105687."
IWE027_2007_GOS_M_VS_E_SEEDSET_SMD,IWE027,AOB_2009_TABLE4_GOS_2007,DEP_IWE027_TAISETSU_2007,Phyllodoce aleutica,Bombus spp.,mutualist,A,direct_activity,seasonal_position,strict_window,ordered_by_measured_window,synchrony,seed_set,standardized_mean_difference,1.0038892388,0.0915777666,48,10.1093/aob/mcp037,GOS_M_vs_E,2007,,,,,,"Strict contrast restricted to 2007 because bumble-bee activity was measured contemporaneously only that year. Early/mid-July had very low visits by queens; worker bees appeared in late July and visit frequency increased abruptly and stayed high through August. Table 4 intact natural seed set: GOS M high-overlap mean=0.65 SE=0.05 n=24 versus E low-overlap mean=0.40 SE=0.05 n=24. Source values are mean±SE; SD=SE*sqrt(n), then Hedges g for M minus E gives g=1.0038892388, variance=0.0915777666."
IWE023_2015_W1_VS_W4_SEEDSET_SMD,IWE023,GALLAGHER_DISS_CH2_TABLE2_2_FIG2_4,DEP_MERTENSIA_GALLAGHER_CAMPBELL_RMBL,Mertensia ciliata,pollinator assemblage,mutualist,A,experimental_timing,experimental_plant_shift,strict_window,ordered_by_measured_window,synchrony,seed_set,standardized_mean_difference,0.3732395638,0.1873253239,20,10.1002/ajb2.1439,Rustlers_Gulch,2015,,,,,,"2015 flowering onset was manipulated into four weekly cohorts (n=10 each). Pollinator visitation was measured contemporaneously and declined >5-fold from week 1 to week 4, fixing week 1 as the higher-availability window before using seed-set values. Dissertation Table 2.2 reports relative observed seed-set means [0.85,1.00,0.91,0.69]; the same four-group outcome has F(3,36)=1.01. For the balanced design, F=MS_between/MS_within deterministically recovers pooled within-group variance on the same relative scale. Hedges g for high-overlap week 1 minus low-overlap week 4 is +0.3732395638, variance=0.1873253239. The common relative scaling cancels in the SMD; no missing variance or slope conversion is used."
IWE032_D24_VS_D0_SEEDS_SMD,IWE032,SYMBIOSIS_2012_TABLE1_D0_D24,DEP_FICUS_CURTIPES_XTBG_2010,Ficus curtipes,Eupristina sp.,mixed_pollinating_seed_predator,A,experimental_timing,partner_minus_plant,strict_window,plant_earlier_only,mismatch,seed_count,standardized_mean_difference,-1.6258967235,0.0635115103,87,10.1007/s13199-012-0178-y,XTBG,2010,,,,,,"Controlled partner-arrival experiment on one synchronously fruiting tree. Receptivity onset defines plant timing and a single pollinator was introduced to randomly chosen syconia at exact ages. Native exposure is partner arrival minus receptivity onset, so day 24 is higher mismatch than day 0. Table 1 mature total seeds: day24 mean=24.15 SD=15.80 n=54; day0 mean=52.85 SD=19.99 n=33. Hedges g for high mismatch minus matching is -1.6258967235, variance=0.0635115103; exposure_direction=mismatch orients this to +1.6258967235 for greater synchrony. Syconia are the source-declared treatment units; all remain one programme dependence cluster. Across all 422 introduced syconia, 33 aborted and abortion frequency did not differ by age; Table 1 seed summaries cover the 389 syconia completing development."
